"Sample_Name"	"Sample_ID"	"Stream"	"Region"	"LeafLeafLeaf"	"Vegetation"	"Delta13_C_VPDB_corr"	"log_molar_CN"	"Shredder"	"Species"	"Order"	"T"	"Species_All_1"	"Type"	"EA_C_Percent_corr"	"EA_N_Percent_corr"	"Delta15_N_Air_corr"	"Delta13_C_VPDB_corr_corr"
"96"	"MZB-TI2F-fresh-Habroleptoides"	NA	"TI2"	"South"	"no-leaf"	"forested"	-27.21	1.92041324830198	"N"	"Habroleptoides"	"Ephemeroptera"	"fresh"	"Habroleptoides"	"MZB"	49.21	8.41	-3.76	-27.21
"97"	"MZB-TI2F-fresh-Limnephilidae"	NA	"TI2"	"South"	"no-leaf"	"forested"	-27.91	1.81702367881833	"Y"	"Limnephilidae"	"Trichoptera"	"fresh"	"Limnephilidae"	"MZB"	45.59	8.64	-3.54	-29
"98"	"MZB-TI2F-fresh-Limnephilidae"	NA	"TI2"	"South"	"no-leaf"	"forested"	-27.6	1.91950510976953	"Y"	"Limnephilidae"	"Trichoptera"	"fresh"	"Limnephilidae"	"MZB"	45.95	7.86	-3.86	-28.69
"99"	"MZB-TI2F-fresh-Habroleptoides"	NA	"TI2"	"South"	"no-leaf"	"forested"	-26.74	NA	"N"	"Habroleptoides"	"Ephemeroptera"	"fresh"	"Habroleptoides"	"MZB"	48.82	NA	NA	-26.74
"100"	"MZB-TI2F-fresh-Nemoura"	NA	"TI2"	"South"	"no-leaf"	"forested"	-28.25	1.92687406229246	"Y"	"Nemoura"	"Plecoptera"	"fresh"	"Nemoura"	"MZB"	48.41	8.22	-3.53	-29.34
"101"	"MZB-TI2F-fresh-Nemoura"	NA	"TI2"	"South"	"no-leaf"	"forested"	-28.48	1.94691047909484	"Y"	"Nemoura"	"Plecoptera"	"fresh"	"Nemoura"	"MZB"	49.57	8.25	-3.77	-29.57
"102"	"MZB-TI2F-fresh-Protonemura"	NA	"TI2"	"South"	"no-leaf"	"forested"	-28.46	1.74682664184152	"Y"	"Protonemura"	"Plecoptera"	"fresh"	"Protonemura"	"MZB"	49.14	9.99	-4.5	-29.55
"103"	"MZB-TI1A-fresh-Simulium"	NA	"TI1"	"South"	"no-leaf"	"non-forested"	-26.22	1.74820579611422	"N"	"Simulium"	"Diptera"	"fresh"	"Simulium"	"MZB"	41.77	8.48	2.42	-26.22
"104"	"MZB-TI2F-fresh-Protonemura"	NA	"TI2"	"South"	"no-leaf"	"forested"	-28.45	1.78996122717872	"Y"	"Protonemura"	"Plecoptera"	"fresh"	"Protonemura"	"MZB"	48.43	9.43	-3.94	-29.54
"105"	"MZB-TI2A-fresh-Protonemura"	NA	"TI2"	"South"	"no-leaf"	"non-forested"	-29.96	1.79435490166303	"Y"	"Protonemura"	"Plecoptera"	"fresh"	"Protonemura"	"MZB"	47.56	9.22	-3.01	-31.05
"106"	"MZB-TI2A-fresh-Leuctra"	NA	"TI2"	"South"	"no-leaf"	"non-forested"	-25.98	1.71461996321209	"Y"	"Leuctra"	"Plecoptera"	"fresh"	"Leuctra"	"MZB"	54.87	11.52	0.0800000000000001	-27.07
"107"	"MZB-TI2A-fresh-Nemoura"	NA	"TI2"	"South"	"no-leaf"	"non-forested"	-27.42	1.70146789434296	"Y"	"Nemoura"	"Plecoptera"	"fresh"	"Nemoura"	"MZB"	47.76	10.16	-1.43	-28.51
"108"	"MZB-TI2A-fresh-Baetis"	NA	"TI2"	"South"	"no-leaf"	"non-forested"	-29.64	2.10331999121438	"N"	"Baetis"	"Ephemeroptera"	"fresh"	"Baetis"	"MZB"	32.74	4.66	-1.42	-29.64
"109"	"MZB-TI2A-fresh-Protonemura"	NA	"TI2"	"South"	"no-leaf"	"non-forested"	-30.34	1.78330720579412	"Y"	"Protonemura"	"Plecoptera"	"fresh"	"Protonemura"	"MZB"	48.67	9.54	-2.37	-31.43
"110"	"MZB-TI2A-fresh-Nemoura"	NA	"TI2"	"South"	"no-leaf"	"non-forested"	-28.15	1.78251616260364	"Y"	"Nemoura"	"Plecoptera"	"fresh"	"Nemoura"	"MZB"	45.42	8.91	-2.66	-29.24
"111"	"MZB-TI2A-fresh-Habroleptoides"	NA	"TI2"	"South"	"no-leaf"	"non-forested"	-27.01	NA	"N"	"Habroleptoides"	"Ephemeroptera"	"fresh"	"Habroleptoides"	"MZB"	49.62	NA	NA	-27.01
"112"	"MZB-TI2A-fresh-Leuctra"	NA	"TI2"	"South"	"no-leaf"	"non-forested"	-27.52	1.73221355423908	"Y"	"Leuctra"	"Plecoptera"	"fresh"	"Leuctra"	"MZB"	47.7	9.84	-1.24	-28.61
"113"	"Leaf-TG1A-21-Alder"	"TG1A21"	"TG1"	"North"	"Alder"	"non-forested"	-29.46	2.88413536720315	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	45.25	2.95	-0.03	-29.46
"114"	"Leaf-TG1F-43"	"TG1F43"	"TG1"	"North"	"Ash"	"forested"	-30.72	2.87323311475703	"N"	NA	NA	"sample"	"Ash"	"Leaf"	42.18	2.78	0.75	-30.72
"115"	"Leaf-TG3A-109"	"TG3A109"	"TG3"	"North"	"Alder"	"non-forested"	-29.71	2.94542738897332	"N"	NA	NA	"sample"	"Alder"	"Leaf"	43.87	2.69	-0.71	-29.71
"116"	"Leaf-TG1F-45-Ash"	"TG1F45"	"TG1"	"North"	"Ash"	"forested"	-30.45	3.0319995564886	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	42.68	2.4	0.73	-30.45
"117"	"Leaf-TG2F-87"	"TG2F87"	"TG2"	"North"	"Alder"	"forested"	-29.74	2.93749446488491	"N"	NA	NA	"sample"	"Alder"	"Leaf"	41.42	2.56	-0.27	-29.74
"118"	"Leaf-TG1A-21-Ash"	"TG1A21"	"TG1"	"North"	"Ash"	"non-forested"	-30.77	2.85827312640371	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	42.6	2.85	0.36	-30.77
"119"	"Leaf-TI2F-278"	"TI2F278"	"TI2"	"South"	"Alder"	"forested"	-29.48	3.04476816994531	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.57	2.53	-1.7	-29.48
"120"	"Leaf-TI1F-238-Ash"	"TI1F238"	"TI1"	"South"	"Ash"	"forested"	-30.48	2.88547783963356	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.85	2.92	-1.86	-30.48
"122"	"Leaf-TI3A-311-Ash"	"TI3A311"	"TI3"	"South"	"Ash"	"non-forested"	-30.31	2.96264407204788	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.3	2.67	-2.21	-30.31
